rating,rating_count,cost,name_encoded
3.7,10,250,4380
3.7,10,249,21092
3.7,10,200,32903
3.7,10,400,44244
3.7,10,100,74571
3.7,10,350,110966
3.5,20,600,78286
3.7,10,100,23149
3.7,10,200,41650
3.7,10,200,35755
3.3,20,150,66116
3.7,10,300,51143
4.3,100,1200,56031
4.0,100,150,98404
4.0,10,300,87675
4.0,10,300,62151
4.0,10,350,90504
4.0,10,300,53458
4.0,10,400,68040
4.0,10,300,91249
4.0,10,500,477
3.6,100,250,98772
4.0,50,200,89379
4.3,100,300,99160
4.0,10,150,60797
4.0,10,250,107530
4.0,10,300,46653
3.7,50,250,47747
4.0,10,200,22261
4.0,10,200,31854
4.2,50,100,47571
3.7,500,300,97253
4.0,10,280,78098
4.0,10,200,10424
4.0,10,200,102849
4.0,10,400,82363
4.0,10,400,50537
4.0,10,200,7424
4.0,10,400,10381
4.0,10,250,11764
3.9,20,350,85995
4.0,10,250,108728
4.0,10,350,110031
4.2,100,200,35205
4.0,10,300,104504
4.0,10,150,89340
4.0,10,300,59502
4.0,10,500,18271
4.0,10,400,27015
4.0,10,250,55432
3.0,50,200,3892
4.0,10,300,99658
4.7,20,300,36202
4.0,20,600,80213
4.0,100,300,106037
3.8,20,600,19372
4.0,10,1200,104565
4.0,10,200,48023
4.0,10,200,47573
4.0,10,250,47928
4.0,10,350,51790
4.0,10,700,72141
4.0,10,100,46346
4.0,10,200,97869
4.0,10,350,13070
4.0,100,200,40176
4.0,10,320,55901
3.8,100,250,67742
4.0,10,300,21042
4.0,10,250,90776
4.0,10,200,55274
4.0,10,250,35833
4.3,1000,200,1362
3.8,20,500,32302
4.0,10,200,108781
4.0,10,250,61280
4.0,10,1300,102825
4.0,10,200,20421
4.0,10,250,89530
4.0,10,280,55544
4.2,20,500,29217
4.1,20,600,19318
3.5,100,250,87546
4.0,10,250,77506
3.5,50,400,30461
4.0,10,300,51928
4.4,50,250,14798
4.4,50,200,99265
4.5,50,400,26433
4.1,100,350,93105
4.0,20,400,32145
4.1,500,500,29796
4.3,100,500,44095
4.0,20,400,12889
4.0,10,500,75522
4.0,10,300,32114
4.0,20,200,40437
4.2,50,400,41102
4.0,10,200,102240
4.1,100,200,26566
4.1,100,400,69941
3.4,50,200,88418
4.0,10,500,105830
3.7,20,800,101207
4.0,10,350,31622
4.0,10,200,34546
4.5,50,150,47568
4.3,20,250,61157
4.0,50,200,111406
4.0,100,400,100878
4.0,10,400,91640
4.0,10,150,4659
4.0,10,200,47120
4.0,10,150,80695
4.0,10,1000,11776
3.9,100,400,67030
3.9,100,200,47260
4.0,10,1000,62465
4.0,10,280,5838
4.0,10,200,77480
4.0,10,850,18959
3.6,100,250,99649
4.0,10,150,105811
4.0,10,400,23136
4.0,10,300,105916
3.7,50,250,13569
4.0,10,600,13973
4.6,100,120,36719
4.1,20,450,37698
4.0,10,200,24716
4.2,20,800,50302
4.2,100,300,59451
4.0,10,400,107629
4.0,10,100,105834
4.0,10,300,40553
4.0,10,300,27671
4.0,10,200,102116
4.0,10,200,86105
4.6,20,350,23638
4.0,10,200,88912
3.7,500,350,59825
3.5,100,200,61302
4.0,10,200,68256
3.6,20,200,40439
4.0,10,250,63797
4.0,100,199,12762
4.0,10,350,28050
4.5,20,400,94901
4.0,10,300,80062
4.0,10,150,36905
4.0,10,400,43908
3.6,100,250,108366
4.8,20,200,69285
3.9,100,250,62950
4.1,20,200,66189
2.7,20,200,74894
4.0,10,300,31717
4.2,100,500,100927
4.3,20,400,24651
4.0,10,300,31684
4.0,10,200,112557
4.0,10,200,47607
4.0,10,300,34037
2.9,20,250,51067
4.0,100,200,75190
3.9,100,400,54235
4.0,10,200,44573
4.0,10,300,21759
4.0,10,300,72394
4.0,10,200,68451
